character_name,traits,category,traints
ai kayano,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
maggie civantos,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kevin ko,"[""['is_male'"", "" 'is_director']""]",Directing,"['is_male', 'is_director']"
michael imperioli,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
park se-wan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
lærke winther,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
leighton meester,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
justin chambers,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sibylla deen,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
aidan turner,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
go kyung-pyo,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ilmur kristjánsdóttir,"[""['is_actor']""]",Acting,['is_actor']
vanessa angel,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
baek ji-won,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
michael cudlitz,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
saskia reeves,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
max nattapol diloknawarit,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kit connor,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
hector elizondo,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
amy locane,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
richard riehle,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
vivien lyra blair,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jessica sula,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
shawn wayans,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
nick zano,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
carla gallo,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
teyonah parris,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
aishwarya rai bachchan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
allison scagliotti,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
parminder nagra,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ebonie smith,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
katie lohmann,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
lisa eilbacher,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
