character_name,traits,category,traints
phoebe fox,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hwang jung-min,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
viviane araújo,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
julie graham,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
oriol paulo,"[""['is_male'"", "" 'is_writer']""]",Writing,"['is_male', 'is_writer']"
martine beswick,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
griffin santopietro,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
stephanie corneliussen,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jung jin-young,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
maddie ziegler,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kenan ece,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
paula newsome,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
lori singer,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mercedes cabral,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
wanda ventham,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
yuri tsunematsu,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
marc warren,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
josha stradowski,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
wendy moniz,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
debra paget,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
anna adamovich,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
wang ziwen,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
may lo mei-wei,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
cush jumbo,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
burt young,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
louise stratten,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ben johnson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
vincent cassel,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
rome flynn,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kareena kapoor khan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ben foster,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
noah wiseman,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
